

=== Predictions on test data ===

inst#,actual,predicted,error,prediction
1,1:No,1:No,,0.989
2,1:No,1:No,,0.988
3,1:No,1:No,,0.847
4,1:No,1:No,,0.988
5,1:No,1:No,,0.981
6,1:No,1:No,,0.937
7,1:No,1:No,,0.962
8,1:No,1:No,,0.92
9,1:No,1:No,,0.971
10,1:No,1:No,,0.95
11,1:No,1:No,,0.986
12,1:No,1:No,,0.934
13,1:No,1:No,,0.993
14,1:No,1:No,,0.991
15,1:No,1:No,,0.965
16,1:No,1:No,,0.989
17,1:No,1:No,,0.862
18,1:No,1:No,,0.899
19,1:No,1:No,,0.826
20,1:No,1:No,,0.96
21,1:No,1:No,,0.996
22,1:No,1:No,,0.951
23,1:No,1:No,,0.991
24,1:No,1:No,,0.969
25,1:No,1:No,,0.929
26,1:No,1:No,,0.938
27,1:No,1:No,,0.947
28,1:No,1:No,,0.946
29,1:No,1:No,,0.968
30,1:No,1:No,,0.996
31,1:No,1:No,,0.99
32,1:No,1:No,,0.946
33,1:No,1:No,,0.988
34,1:No,1:No,,0.892
35,1:No,1:No,,0.993
36,1:No,1:No,,0.983
37,1:No,1:No,,0.969
38,1:No,1:No,,0.976
39,1:No,1:No,,0.982
40,1:No,1:No,,0.964
41,1:No,1:No,,0.957
42,1:No,1:No,,0.996
43,1:No,1:No,,0.994
44,1:No,1:No,,0.997
45,1:No,1:No,,0.948
46,1:No,1:No,,0.975
47,1:No,1:No,,0.987
48,1:No,1:No,,0.997
49,1:No,1:No,,0.997
50,1:No,1:No,,0.903
51,1:No,1:No,,0.994
52,1:No,1:No,,0.854
53,1:No,1:No,,0.981
54,1:No,1:No,,0.966
55,1:No,1:No,,0.884
56,1:No,1:No,,0.855
57,1:No,1:No,,0.995
58,1:No,1:No,,0.984
59,1:No,1:No,,0.988
60,1:No,1:No,,0.926
61,1:No,1:No,,0.954
62,1:No,1:No,,0.974
63,1:No,1:No,,0.963
64,1:No,1:No,,0.927
65,1:No,1:No,,0.934
66,1:No,1:No,,0.942
67,1:No,1:No,,0.986
68,1:No,1:No,,0.878
69,1:No,1:No,,0.926
70,1:No,1:No,,0.736
71,1:No,1:No,,0.929
72,1:No,1:No,,0.988
73,1:No,1:No,,0.959
74,1:No,1:No,,0.915
75,1:No,1:No,,0.994
76,1:No,1:No,,0.981
77,1:No,1:No,,0.923
78,1:No,1:No,,0.91
79,1:No,1:No,,0.983
80,1:No,1:No,,0.821
81,1:No,1:No,,0.994
82,1:No,1:No,,0.948
83,1:No,1:No,,0.956
84,1:No,1:No,,0.918
85,1:No,1:No,,0.981
86,1:No,1:No,,0.995
87,1:No,1:No,,0.935
88,1:No,1:No,,0.755
89,1:No,1:No,,0.994
90,1:No,1:No,,0.99
91,1:No,1:No,,0.955
92,1:No,1:No,,0.969
93,1:No,1:No,,0.939
94,1:No,1:No,,0.988
95,1:No,1:No,,0.926
96,1:No,1:No,,0.982
97,1:No,1:No,,0.987
98,1:No,1:No,,0.912
99,1:No,1:No,,0.978
100,1:No,1:No,,0.983
101,1:No,1:No,,0.996
102,1:No,1:No,,0.938
103,1:No,1:No,,0.919
104,1:No,1:No,,0.949
105,1:No,1:No,,0.976
106,1:No,1:No,,0.947
107,1:No,1:No,,0.865
108,1:No,1:No,,0.762
109,1:No,1:No,,0.963
110,1:No,1:No,,0.983
111,1:No,1:No,,0.952
112,1:No,1:No,,0.784
113,1:No,1:No,,0.984
114,1:No,1:No,,0.993
115,1:No,1:No,,0.921
116,1:No,1:No,,0.867
117,1:No,1:No,,0.994
118,1:No,1:No,,0.976
119,1:No,1:No,,0.98
