

=== Predictions on test data ===

inst#,actual,predicted,error,prediction
1,1:No,1:No,,0.956
2,1:No,1:No,,0.947
3,1:No,1:No,,0.872
4,1:No,1:No,,0.956
5,1:No,1:No,,0.961
6,1:No,1:No,,0.936
7,1:No,1:No,,0.931
8,1:No,1:No,,0.927
9,1:No,1:No,,0.948
10,1:No,1:No,,0.941
11,1:No,1:No,,0.963
12,1:No,1:No,,0.927
13,1:No,1:No,,0.96
14,1:No,1:No,,0.966
15,1:No,1:No,,0.913
16,1:No,1:No,,0.956
17,1:No,1:No,,0.875
18,1:No,1:No,,0.909
19,1:No,1:No,,0.855
20,1:No,1:No,,0.943
21,1:No,1:No,,0.972
22,1:No,1:No,,0.946
23,1:No,1:No,,0.972
24,1:No,1:No,,0.914
25,1:No,1:No,,0.874
26,1:No,1:No,,0.898
27,1:No,1:No,,0.94
28,1:No,1:No,,0.914
29,1:No,1:No,,0.927
30,1:No,1:No,,0.965
31,1:No,1:No,,0.951
32,1:No,1:No,,0.932
33,1:No,1:No,,0.964
34,1:No,1:No,,0.88
35,1:No,1:No,,0.968
36,1:No,1:No,,0.933
37,1:No,1:No,,0.932
38,1:No,1:No,,0.92
39,1:No,1:No,,0.948
40,1:No,1:No,,0.945
41,1:No,1:No,,0.919
42,1:No,1:No,,0.966
43,1:No,1:No,,0.957
44,1:No,1:No,,0.97
45,1:No,1:No,,0.892
46,1:No,1:No,,0.959
47,1:No,1:No,,0.942
48,1:No,1:No,,0.974
49,1:No,1:No,,0.982
50,1:No,1:No,,0.916
51,1:No,1:No,,0.965
52,1:No,1:No,,0.85
53,1:No,1:No,,0.966
54,1:No,1:No,,0.942
55,1:No,1:No,,0.882
56,1:No,1:No,,0.84
57,1:No,1:No,,0.974
58,1:No,1:No,,0.966
59,1:No,1:No,,0.951
60,1:No,1:No,,0.91
61,1:No,1:No,,0.918
62,1:No,1:No,,0.937
63,1:No,1:No,,0.933
64,1:No,1:No,,0.918
65,1:No,1:No,,0.917
66,1:No,1:No,,0.911
67,1:No,1:No,,0.958
68,1:No,1:No,,0.895
69,1:No,1:No,,0.876
70,1:No,1:No,,0.696
71,1:No,1:No,,0.864
72,1:No,1:No,,0.957
73,1:No,1:No,,0.919
74,1:No,1:No,,0.918
75,1:No,1:No,,0.967
76,1:No,1:No,,0.928
77,1:No,1:No,,0.909
78,1:No,1:No,,0.888
79,1:No,1:No,,0.95
80,1:No,1:No,,0.739
81,1:No,1:No,,0.974
82,1:No,1:No,,0.908
83,1:No,1:No,,0.93
84,1:No,1:No,,0.913
85,1:No,1:No,,0.96
86,1:No,1:No,,0.964
87,1:No,1:No,,0.924
88,1:No,1:No,,0.747
89,1:No,1:No,,0.969
90,1:No,1:No,,0.963
91,1:No,1:No,,0.92
92,1:No,1:No,,0.955
93,1:No,1:No,,0.935
94,1:No,1:No,,0.966
95,1:No,1:No,,0.899
96,1:No,1:No,,0.94
97,1:No,1:No,,0.937
98,1:No,1:No,,0.912
99,1:No,1:No,,0.952
100,1:No,1:No,,0.93
101,1:No,1:No,,0.973
102,1:No,1:No,,0.932
103,1:No,1:No,,0.918
104,1:No,1:No,,0.889
105,1:No,1:No,,0.937
106,1:No,1:No,,0.899
107,1:No,1:No,,0.786
108,1:No,1:No,,0.712
109,1:No,1:No,,0.937
110,1:No,1:No,,0.957
111,1:No,1:No,,0.939
112,1:No,1:No,,0.758
113,1:No,1:No,,0.956
114,1:No,1:No,,0.968
115,1:No,1:No,,0.876
116,1:No,1:No,,0.889
117,1:No,1:No,,0.965
118,1:No,1:No,,0.931
119,1:No,1:No,,0.969
120,1:No,1:No,,0.777
121,1:No,1:No,,0.942
122,1:No,1:No,,0.743
123,1:No,1:No,,0.962
124,1:No,1:No,,0.947
125,1:No,1:No,,0.963
126,1:No,1:No,,0.909
127,1:No,1:No,,0.946
128,1:No,1:No,,0.977
129,1:No,1:No,,0.946
130,1:No,1:No,,0.95
131,1:No,1:No,,0.857
132,1:No,1:No,,0.75
133,1:No,1:No,,0.875
134,1:No,1:No,,0.86
135,1:No,1:No,,0.958
136,1:No,1:No,,0.94
137,1:No,1:No,,0.839
138,1:No,1:No,,0.889
139,1:No,1:No,,0.905
140,1:No,1:No,,0.946
141,1:No,1:No,,0.916
142,1:No,1:No,,0.933
143,1:No,1:No,,0.912
144,1:No,1:No,,0.932
145,1:No,1:No,,0.775
146,1:No,1:No,,0.949
147,1:No,1:No,,0.954
148,1:No,1:No,,0.847
149,1:No,1:No,,0.865
150,1:No,1:No,,0.922
151,1:No,1:No,,0.919
152,1:No,1:No,,0.874
153,1:No,1:No,,0.949
154,1:No,1:No,,0.914
155,1:No,1:No,,0.969
156,1:No,1:No,,0.881
157,1:No,1:No,,0.924
158,1:No,1:No,,0.941
159,1:No,1:No,,0.833
160,1:No,1:No,,0.956
161,1:No,1:No,,0.801
162,1:No,1:No,,0.896
163,1:No,1:No,,0.793
164,1:No,1:No,,0.915
165,1:No,1:No,,0.974
166,1:No,1:No,,0.928
167,1:No,1:No,,0.928
168,1:No,1:No,,0.921
169,1:No,1:No,,0.892
170,1:No,1:No,,0.906
171,1:No,1:No,,0.912
172,1:No,1:No,,0.909
173,1:No,1:No,,0.923
174,1:No,1:No,,0.941
175,1:No,1:No,,0.922
176,1:No,1:No,,0.932
177,1:No,1:No,,0.942
178,1:No,1:No,,0.905
179,1:No,1:No,,0.901
180,1:No,1:No,,0.903
181,1:No,1:No,,0.977
182,1:No,1:No,,0.938
183,1:No,1:No,,0.861
184,1:No,1:No,,0.937
185,1:No,1:No,,0.958
186,1:No,1:No,,0.953
187,1:No,1:No,,0.846
188,1:No,1:No,,0.962
189,1:No,1:No,,0.95
190,1:No,1:No,,0.907
191,1:No,1:No,,0.875
192,1:No,1:No,,0.911
193,1:No,1:No,,0.89
194,1:No,1:No,,0.904
195,1:No,1:No,,0.888
196,1:No,1:No,,0.947
197,1:No,1:No,,0.97
198,1:No,1:No,,0.956
199,1:No,1:No,,0.79
200,1:No,1:No,,0.885
201,1:No,1:No,,0.965
202,1:No,1:No,,0.853
203,1:No,1:No,,0.973
204,1:No,1:No,,0.98
205,1:No,1:No,,0.981
206,1:No,1:No,,0.891
207,1:No,1:No,,0.872
208,1:No,1:No,,0.945
209,1:No,1:No,,0.931
210,1:No,1:No,,0.925
211,1:No,1:No,,0.848
212,1:No,1:No,,0.845
213,1:No,1:No,,0.925
214,1:No,1:No,,0.931
215,1:No,1:No,,0.928
216,1:No,1:No,,0.96
217,1:No,1:No,,0.937
218,1:No,1:No,,0.949
219,1:No,1:No,,0.889
220,1:No,1:No,,0.955
221,1:No,1:No,,0.949
222,1:No,1:No,,0.858
223,1:No,1:No,,0.941
224,1:No,1:No,,0.924
225,1:No,1:No,,0.949
226,1:No,1:No,,0.921
227,1:No,1:No,,0.948
228,1:No,1:No,,0.922
229,1:No,1:No,,0.906
230,1:No,1:No,,0.898
231,1:No,1:No,,0.919
232,1:No,1:No,,0.839
233,1:No,1:No,,0.986
234,1:No,1:No,,0.906
235,1:No,1:No,,0.868
236,1:No,1:No,,0.941
237,1:No,1:No,,0.959
238,1:No,1:No,,0.885
239,1:No,1:No,,0.949
240,1:No,1:No,,0.968
241,1:No,1:No,,0.936
242,1:No,1:No,,0.956
243,1:No,1:No,,0.955
244,1:No,1:No,,0.934
245,1:No,1:No,,0.869
246,1:No,1:No,,0.969
247,1:No,1:No,,0.92
248,1:No,1:No,,0.969
249,1:No,1:No,,0.924
250,1:No,1:No,,0.879
251,1:No,1:No,,0.741
252,1:No,1:No,,0.962
253,1:No,1:No,,0.873
254,1:No,1:No,,0.929
255,1:No,1:No,,0.908
256,1:No,1:No,,0.9
257,1:No,1:No,,0.942
258,1:No,1:No,,0.932
259,1:No,1:No,,0.865
260,1:No,1:No,,0.722
261,1:No,1:No,,0.929
262,1:No,1:No,,0.931
263,1:No,1:No,,0.966
264,1:No,1:No,,0.951
265,1:No,1:No,,0.929
266,1:No,1:No,,0.943
267,1:No,1:No,,0.923
268,1:No,1:No,,0.961
269,1:No,1:No,,0.877
270,1:No,1:No,,0.821
271,1:No,1:No,,0.913
272,1:No,1:No,,0.958
273,1:No,1:No,,0.964
274,1:No,1:No,,0.952
275,1:No,1:No,,0.93
276,1:No,1:No,,0.858
277,1:No,1:No,,0.93
278,1:No,1:No,,0.962
279,1:No,1:No,,0.921
280,1:No,1:No,,0.955
281,1:No,1:No,,0.948
282,1:No,1:No,,0.932
283,1:No,1:No,,0.796
284,1:No,1:No,,0.942
285,1:No,1:No,,0.942
286,1:No,1:No,,0.905
287,1:No,1:No,,0.939
288,1:No,1:No,,0.946
289,1:No,1:No,,0.94
