

=== Predictions on test data ===

inst#,actual,predicted,error,prediction
1,1:No,1:No,,0.977
2,1:No,1:No,,0.984
3,1:No,1:No,,0.872
4,1:No,1:No,,0.982
5,1:No,1:No,,0.976
6,1:No,1:No,,0.95
7,1:No,1:No,,0.962
8,1:No,1:No,,0.937
9,1:No,1:No,,0.975
10,1:No,1:No,,0.953
11,1:No,1:No,,0.985
12,1:No,1:No,,0.933
13,1:No,1:No,,0.986
14,1:No,1:No,,0.991
15,1:No,1:No,,0.945
16,1:No,1:No,,0.99
17,1:No,1:No,,0.898
18,1:No,1:No,,0.941
19,1:No,1:No,,0.883
20,1:No,1:No,,0.971
21,1:No,1:No,,0.993
22,1:No,1:No,,0.954
23,1:No,1:No,,0.988
24,1:No,1:No,,0.943
25,1:No,1:No,,0.919
26,1:No,1:No,,0.932
27,1:No,1:No,,0.952
28,1:No,1:No,,0.942
29,1:No,1:No,,0.963
30,1:No,1:No,,0.993
31,1:No,1:No,,0.982
32,1:No,1:No,,0.96
33,1:No,1:No,,0.984
34,1:No,1:No,,0.915
35,1:No,1:No,,0.991
36,1:No,1:No,,0.975
37,1:No,1:No,,0.958
38,1:No,1:No,,0.967
39,1:No,1:No,,0.973
40,1:No,1:No,,0.972
41,1:No,1:No,,0.967
42,1:No,1:No,,0.992
43,1:No,1:No,,0.988
44,1:No,1:No,,0.992
45,1:No,1:No,,0.944
46,1:No,1:No,,0.973
47,1:No,1:No,,0.98
48,1:No,1:No,,0.994
49,1:No,1:No,,0.995
50,1:No,1:No,,0.942
51,1:No,1:No,,0.99
52,1:No,1:No,,0.875
53,1:No,1:No,,0.981
54,1:No,1:No,,0.96
55,1:No,1:No,,0.877
56,1:No,1:No,,0.881
57,1:No,1:No,,0.994
58,1:No,1:No,,0.986
59,1:No,1:No,,0.983
60,1:No,1:No,,0.937
61,1:No,1:No,,0.943
62,1:No,1:No,,0.978
63,1:No,1:No,,0.961
64,1:No,1:No,,0.945
65,1:No,1:No,,0.925
66,1:No,1:No,,0.94
67,1:No,1:No,,0.983
68,1:No,1:No,,0.92
69,1:No,1:No,,0.916
70,1:No,1:No,,0.788
71,1:No,1:No,,0.887
72,1:No,1:No,,0.983
73,1:No,1:No,,0.933
74,1:No,1:No,,0.919
75,1:No,1:No,,0.991
76,1:No,1:No,,0.959
77,1:No,1:No,,0.941
78,1:No,1:No,,0.886
79,1:No,1:No,,0.978
80,1:No,1:No,,0.825
81,1:No,1:No,,0.991
82,1:No,1:No,,0.949
83,1:No,1:No,,0.96
84,1:No,1:No,,0.915
85,1:No,1:No,,0.983
86,1:No,1:No,,0.988
87,1:No,1:No,,0.955
88,1:No,1:No,,0.807
89,1:No,1:No,,0.992
90,1:No,1:No,,0.988
91,1:No,1:No,,0.948
92,1:No,1:No,,0.972
93,1:No,1:No,,0.962
94,1:No,1:No,,0.989
95,1:No,1:No,,0.933
96,1:No,1:No,,0.967
97,1:No,1:No,,0.977
98,1:No,1:No,,0.942
99,1:No,1:No,,0.979
100,1:No,1:No,,0.975
101,1:No,1:No,,0.993
102,1:No,1:No,,0.946
103,1:No,1:No,,0.949
104,1:No,1:No,,0.922
105,1:No,1:No,,0.964
106,1:No,1:No,,0.93
107,1:No,1:No,,0.837
108,1:No,1:No,,0.802
109,1:No,1:No,,0.965
110,1:No,1:No,,0.979
111,1:No,1:No,,0.963
112,1:No,1:No,,0.805
113,1:No,1:No,,0.987
114,1:No,1:No,,0.991
115,1:No,1:No,,0.917
116,1:No,1:No,,0.908
117,1:No,1:No,,0.99
118,1:No,1:No,,0.962
119,1:No,1:No,,0.983
120,1:No,1:No,,0.847
121,1:No,1:No,,0.967
122,1:No,1:No,,0.821
123,1:No,1:No,,0.988
124,1:No,1:No,,0.963
125,1:No,1:No,,0.981
126,1:No,1:No,,0.961
127,1:No,1:No,,0.984
128,1:No,1:No,,0.996
129,1:No,1:No,,0.976
130,1:No,1:No,,0.988
131,1:No,1:No,,0.925
132,1:No,1:No,,0.811
133,1:No,1:No,,0.927
134,1:No,1:No,,0.873
135,1:No,1:No,,0.983
136,1:No,1:No,,0.971
137,1:No,1:No,,0.887
138,1:No,1:No,,0.89
139,1:No,1:No,,0.927
140,1:No,1:No,,0.97
141,1:No,1:No,,0.96
142,1:No,1:No,,0.971
143,1:No,1:No,,0.958
144,1:No,1:No,,0.951
145,1:No,1:No,,0.853
146,1:No,1:No,,0.981
147,1:No,1:No,,0.968
148,1:No,1:No,,0.883
149,1:No,1:No,,0.887
150,1:No,1:No,,0.963
151,1:No,1:No,,0.954
152,1:No,1:No,,0.909
153,1:No,1:No,,0.98
154,1:No,1:No,,0.945
155,1:No,1:No,,0.991
156,1:No,1:No,,0.915
157,1:No,1:No,,0.946
158,1:No,1:No,,0.977
159,1:No,1:No,,0.852
160,1:No,1:No,,0.982
161,1:No,1:No,,0.836
162,1:No,1:No,,0.936
163,1:No,1:No,,0.87
164,1:No,1:No,,0.914
165,1:No,1:No,,0.995
166,1:No,1:No,,0.94
167,1:No,1:No,,0.958
168,1:No,1:No,,0.953
169,1:No,1:No,,0.926
170,1:No,1:No,,0.926
171,1:No,1:No,,0.949
172,1:No,1:No,,0.927
173,1:No,1:No,,0.973
174,1:No,1:No,,0.954
175,1:No,1:No,,0.954
176,1:No,1:No,,0.963
177,1:No,1:No,,0.978
178,1:No,1:No,,0.938
179,1:No,1:No,,0.9
180,1:No,1:No,,0.929
181,1:No,1:No,,0.994
182,1:No,1:No,,0.945
183,1:No,1:No,,0.893
184,1:No,1:No,,0.976
185,1:No,1:No,,0.971
186,1:No,1:No,,0.986
187,1:No,1:No,,0.861
188,1:No,1:No,,0.987
189,1:No,1:No,,0.979
190,1:No,1:No,,0.937
191,1:No,1:No,,0.884
192,1:No,1:No,,0.945
193,1:No,1:No,,0.936
194,1:No,1:No,,0.938
195,1:No,1:No,,0.883
