

=== Predictions on test data ===

inst#,actual,predicted,error,prediction
1,1:No,1:No,,0.986
2,1:No,1:No,,0.987
3,1:No,1:No,,0.85
4,1:No,1:No,,0.986
5,1:No,1:No,,0.981
6,1:No,1:No,,0.946
7,1:No,1:No,,0.961
8,1:No,1:No,,0.937
9,1:No,1:No,,0.978
10,1:No,1:No,,0.936
11,1:No,1:No,,0.985
12,1:No,1:No,,0.922
13,1:No,1:No,,0.988
14,1:No,1:No,,0.988
15,1:No,1:No,,0.959
16,1:No,1:No,,0.989
17,1:No,1:No,,0.876
18,1:No,1:No,,0.926
19,1:No,1:No,,0.85
20,1:No,1:No,,0.969
21,1:No,1:No,,0.992
22,1:No,1:No,,0.944
23,1:No,1:No,,0.991
24,1:No,1:No,,0.958
25,1:No,1:No,,0.917
26,1:No,1:No,,0.935
27,1:No,1:No,,0.94
28,1:No,1:No,,0.937
29,1:No,1:No,,0.967
30,1:No,1:No,,0.99
31,1:No,1:No,,0.982
32,1:No,1:No,,0.955
33,1:No,1:No,,0.985
34,1:No,1:No,,0.901
35,1:No,1:No,,0.989
36,1:No,1:No,,0.978
37,1:No,1:No,,0.963
38,1:No,1:No,,0.965
39,1:No,1:No,,0.975
40,1:No,1:No,,0.964
41,1:No,1:No,,0.956
42,1:No,1:No,,0.993
43,1:No,1:No,,0.986
44,1:No,1:No,,0.994
45,1:No,1:No,,0.951
46,1:No,1:No,,0.978
47,1:No,1:No,,0.986
48,1:No,1:No,,0.991
49,1:No,1:No,,0.992
50,1:No,1:No,,0.937
51,1:No,1:No,,0.984
52,1:No,1:No,,0.878
53,1:No,1:No,,0.982
54,1:No,1:No,,0.972
55,1:No,1:No,,0.86
56,1:No,1:No,,0.843
57,1:No,1:No,,0.992
58,1:No,1:No,,0.977
59,1:No,1:No,,0.981
60,1:No,1:No,,0.918
61,1:No,1:No,,0.947
62,1:No,1:No,,0.975
63,1:No,1:No,,0.965
64,1:No,1:No,,0.941
65,1:No,1:No,,0.916
66,1:No,1:No,,0.943
67,1:No,1:No,,0.987
68,1:No,1:No,,0.893
69,1:No,1:No,,0.936
70,1:No,1:No,,0.718
71,1:No,1:No,,0.897
72,1:No,1:No,,0.977
73,1:No,1:No,,0.957
74,1:No,1:No,,0.927
75,1:No,1:No,,0.984
76,1:No,1:No,,0.975
77,1:No,1:No,,0.945
78,1:No,1:No,,0.9
79,1:No,1:No,,0.981
80,1:No,1:No,,0.781
81,1:No,1:No,,0.985
82,1:No,1:No,,0.946
83,1:No,1:No,,0.954
84,1:No,1:No,,0.9
85,1:No,1:No,,0.979
86,1:No,1:No,,0.988
87,1:No,1:No,,0.945
88,1:No,1:No,,0.74
89,1:No,1:No,,0.992
90,1:No,1:No,,0.985
91,1:No,1:No,,0.951
92,1:No,1:No,,0.963
93,1:No,1:No,,0.957
94,1:No,1:No,,0.988
95,1:No,1:No,,0.919
96,1:No,1:No,,0.971
97,1:No,1:No,,0.978
98,1:No,1:No,,0.94
99,1:No,1:No,,0.975
100,1:No,1:No,,0.974
101,1:No,1:No,,0.989
102,1:No,1:No,,0.94
103,1:No,1:No,,0.926
104,1:No,1:No,,0.944
105,1:No,1:No,,0.97
106,1:No,1:No,,0.948
107,1:No,1:No,,0.816
108,1:No,1:No,,0.739
109,1:No,1:No,,0.968
110,1:No,1:No,,0.982
111,1:No,1:No,,0.96
112,1:No,1:No,,0.772
113,1:No,1:No,,0.982
114,1:No,1:No,,0.985
115,1:No,1:No,,0.897
116,1:No,1:No,,0.896
117,1:No,1:No,,0.982
118,1:No,1:No,,0.974
119,1:No,1:No,,0.979
120,1:No,1:No,,0.801
121,1:No,1:No,,0.967
122,1:No,1:No,,0.767
123,1:No,1:No,,0.982
124,1:No,1:No,,0.957
125,1:No,1:No,,0.984
126,1:No,1:No,,0.965
127,1:No,1:No,,0.978
128,1:No,1:No,,0.993
129,1:No,1:No,,0.976
130,1:No,1:No,,0.987
131,1:No,1:No,,0.958
132,1:No,1:No,,0.759
133,1:No,1:No,,0.942
134,1:No,1:No,,0.826
135,1:No,1:No,,0.98
136,1:No,1:No,,0.972
137,1:No,1:No,,0.866
138,1:No,1:No,,0.851
139,1:No,1:No,,0.909
140,1:No,1:No,,0.975
141,1:No,1:No,,0.965
142,1:No,1:No,,0.968
143,1:No,1:No,,0.958
144,1:No,1:No,,0.945
145,1:No,1:No,,0.847
146,1:No,1:No,,0.982
147,1:No,1:No,,0.961
148,1:No,1:No,,0.89
149,1:No,1:No,,0.895
150,1:No,1:No,,0.968
151,1:No,1:No,,0.956
152,1:No,1:No,,0.891
153,1:No,1:No,,0.976
154,1:No,1:No,,0.951
