

=== Predictions on test data ===

inst#,actual,predicted,error,prediction
1,1:No,1:No,,0.988
2,1:No,1:No,,0.987
3,1:No,1:No,,0.861
4,1:No,1:No,,0.989
5,1:No,1:No,,0.982
6,1:No,1:No,,0.943
7,1:No,1:No,,0.969
8,1:No,1:No,,0.918
9,1:No,1:No,,0.97
10,1:No,1:No,,0.962
11,1:No,1:No,,0.985
12,1:No,1:No,,0.947
13,1:No,1:No,,0.994
14,1:No,1:No,,0.993
15,1:No,1:No,,0.976
16,1:No,1:No,,0.989
17,1:No,1:No,,0.848
18,1:No,1:No,,0.886
19,1:No,1:No,,0.812
20,1:No,1:No,,0.95
21,1:No,1:No,,0.997
22,1:No,1:No,,0.96
23,1:No,1:No,,0.992
24,1:No,1:No,,0.978
25,1:No,1:No,,0.94
26,1:No,1:No,,0.955
27,1:No,1:No,,0.954
28,1:No,1:No,,0.948
29,1:No,1:No,,0.972
30,1:No,1:No,,0.997
31,1:No,1:No,,0.993
32,1:No,1:No,,0.939
33,1:No,1:No,,0.991
34,1:No,1:No,,0.895
35,1:No,1:No,,0.994
36,1:No,1:No,,0.991
37,1:No,1:No,,0.976
38,1:No,1:No,,0.987
39,1:No,1:No,,0.982
40,1:No,1:No,,0.971
41,1:No,1:No,,0.962
42,1:No,1:No,,0.997
43,1:No,1:No,,0.995
44,1:No,1:No,,0.998
45,1:No,1:No,,0.931
46,1:No,1:No,,0.976
47,1:No,1:No,,0.988
48,1:No,1:No,,0.998
49,1:No,1:No,,0.998
50,1:No,1:No,,0.889
51,1:No,1:No,,0.996
52,1:No,1:No,,0.893
53,1:No,1:No,,0.984
54,1:No,1:No,,0.967
55,1:No,1:No,,0.901
56,1:No,1:No,,0.835
57,1:No,1:No,,0.995
58,1:No,1:No,,0.985
59,1:No,1:No,,0.992
60,1:No,1:No,,0.93
61,1:No,1:No,,0.962
62,1:No,1:No,,0.975
63,1:No,1:No,,0.967
64,1:No,1:No,,0.925
65,1:No,1:No,,0.94
66,1:No,1:No,,0.953
67,1:No,1:No,,0.984
68,1:No,1:No,,0.894
69,1:No,1:No,,0.89
70,1:No,1:No,,0.748
71,1:No,1:No,,0.946
72,1:No,1:No,,0.993
73,1:No,1:No,,0.952
74,1:No,1:No,,0.905
75,1:No,1:No,,0.995
76,1:No,1:No,,0.987
77,1:No,1:No,,0.907
78,1:No,1:No,,0.903
79,1:No,1:No,,0.986
80,1:No,1:No,,0.868
81,1:No,1:No,,0.995
82,1:No,1:No,,0.955
83,1:No,1:No,,0.969
84,1:No,1:No,,0.934
85,1:No,1:No,,0.984
86,1:No,1:No,,0.996
87,1:No,1:No,,0.933
88,1:No,1:No,,0.762
89,1:No,1:No,,0.996
90,1:No,1:No,,0.992
91,1:No,1:No,,0.957
92,1:No,1:No,,0.977
93,1:No,1:No,,0.944
94,1:No,1:No,,0.99
95,1:No,1:No,,0.947
96,1:No,1:No,,0.988
97,1:No,1:No,,0.992
98,1:No,1:No,,0.887
99,1:No,1:No,,0.975
100,1:No,1:No,,0.988
101,1:No,1:No,,0.996
102,1:No,1:No,,0.933
103,1:No,1:No,,0.92
