

=== Predictions on test data ===

inst#,actual,predicted,error,prediction
1,1:No,1:No,,0.984
2,1:No,1:No,,0.981
3,1:No,1:No,,0.872
4,1:No,1:No,,0.985
5,1:No,1:No,,0.98
6,1:No,1:No,,0.957
7,1:No,1:No,,0.957
8,1:No,1:No,,0.954
9,1:No,1:No,,0.981
10,1:No,1:No,,0.947
11,1:No,1:No,,0.981
12,1:No,1:No,,0.94
13,1:No,1:No,,0.98
14,1:No,1:No,,0.984
15,1:No,1:No,,0.946
16,1:No,1:No,,0.983
17,1:No,1:No,,0.89
18,1:No,1:No,,0.936
19,1:No,1:No,,0.875
20,1:No,1:No,,0.965
21,1:No,1:No,,0.986
22,1:No,1:No,,0.957
23,1:No,1:No,,0.988
24,1:No,1:No,,0.944
25,1:No,1:No,,0.908
26,1:No,1:No,,0.931
27,1:No,1:No,,0.95
28,1:No,1:No,,0.933
29,1:No,1:No,,0.962
30,1:No,1:No,,0.985
31,1:No,1:No,,0.973
32,1:No,1:No,,0.947
33,1:No,1:No,,0.981
34,1:No,1:No,,0.912
35,1:No,1:No,,0.983
36,1:No,1:No,,0.97
37,1:No,1:No,,0.954
38,1:No,1:No,,0.951
39,1:No,1:No,,0.966
40,1:No,1:No,,0.961
41,1:No,1:No,,0.945
42,1:No,1:No,,0.99
43,1:No,1:No,,0.974
44,1:No,1:No,,0.99
45,1:No,1:No,,0.936
46,1:No,1:No,,0.981
47,1:No,1:No,,0.979
48,1:No,1:No,,0.983
49,1:No,1:No,,0.986
50,1:No,1:No,,0.94
51,1:No,1:No,,0.975
52,1:No,1:No,,0.89
53,1:No,1:No,,0.979
54,1:No,1:No,,0.97
55,1:No,1:No,,0.874
56,1:No,1:No,,0.839
57,1:No,1:No,,0.985
58,1:No,1:No,,0.966
59,1:No,1:No,,0.973
60,1:No,1:No,,0.921
61,1:No,1:No,,0.944
62,1:No,1:No,,0.967
63,1:No,1:No,,0.963
64,1:No,1:No,,0.947
65,1:No,1:No,,0.922
66,1:No,1:No,,0.942
67,1:No,1:No,,0.983
68,1:No,1:No,,0.917
69,1:No,1:No,,0.927
70,1:No,1:No,,0.675
71,1:No,1:No,,0.881
72,1:No,1:No,,0.966
73,1:No,1:No,,0.957
74,1:No,1:No,,0.938
75,1:No,1:No,,0.975
76,1:No,1:No,,0.965
77,1:No,1:No,,0.941
78,1:No,1:No,,0.902
79,1:No,1:No,,0.975
80,1:No,1:No,,0.752
81,1:No,1:No,,0.977
82,1:No,1:No,,0.939
83,1:No,1:No,,0.947
84,1:No,1:No,,0.912
85,1:No,1:No,,0.974
86,1:No,1:No,,0.978
87,1:No,1:No,,0.941
88,1:No,1:No,,0.704
89,1:No,1:No,,0.988
90,1:No,1:No,,0.978
91,1:No,1:No,,0.943
92,1:No,1:No,,0.969
93,1:No,1:No,,0.962
94,1:No,1:No,,0.985
95,1:No,1:No,,0.921
96,1:No,1:No,,0.958
97,1:No,1:No,,0.964
98,1:No,1:No,,0.943
99,1:No,1:No,,0.965
100,1:No,1:No,,0.962
101,1:No,1:No,,0.98
102,1:No,1:No,,0.955
103,1:No,1:No,,0.927
104,1:No,1:No,,0.937
105,1:No,1:No,,0.959
106,1:No,1:No,,0.942
107,1:No,1:No,,0.78
108,1:No,1:No,,0.698
109,1:No,1:No,,0.959
110,1:No,1:No,,0.982
111,1:No,1:No,,0.953
112,1:No,1:No,,0.74
113,1:No,1:No,,0.973
114,1:No,1:No,,0.977
115,1:No,1:No,,0.893
116,1:No,1:No,,0.915
117,1:No,1:No,,0.973
118,1:No,1:No,,0.967
119,1:No,1:No,,0.981
120,1:No,1:No,,0.754
121,1:No,1:No,,0.965
122,1:No,1:No,,0.734
123,1:No,1:No,,0.971
124,1:No,1:No,,0.964
125,1:No,1:No,,0.981
126,1:No,1:No,,0.949
127,1:No,1:No,,0.968
128,1:No,1:No,,0.987
129,1:No,1:No,,0.97
130,1:No,1:No,,0.982
131,1:No,1:No,,0.944
132,1:No,1:No,,0.72
133,1:No,1:No,,0.929
134,1:No,1:No,,0.843
135,1:No,1:No,,0.969
136,1:No,1:No,,0.965
137,1:No,1:No,,0.862
138,1:No,1:No,,0.878
139,1:No,1:No,,0.917
140,1:No,1:No,,0.967
141,1:No,1:No,,0.956
142,1:No,1:No,,0.957
143,1:No,1:No,,0.949
144,1:No,1:No,,0.948
145,1:No,1:No,,0.829
146,1:No,1:No,,0.974
147,1:No,1:No,,0.965
148,1:No,1:No,,0.878
149,1:No,1:No,,0.895
150,1:No,1:No,,0.96
151,1:No,1:No,,0.948
152,1:No,1:No,,0.904
153,1:No,1:No,,0.963
154,1:No,1:No,,0.945
155,1:No,1:No,,0.981
156,1:No,1:No,,0.896
157,1:No,1:No,,0.93
158,1:No,1:No,,0.959
159,1:No,1:No,,0.857
160,1:No,1:No,,0.968
161,1:No,1:No,,0.79
162,1:No,1:No,,0.944
163,1:No,1:No,,0.792
164,1:No,1:No,,0.915
165,1:No,1:No,,0.984
166,1:No,1:No,,0.941
167,1:No,1:No,,0.945
168,1:No,1:No,,0.954
169,1:No,1:No,,0.918
170,1:No,1:No,,0.928
171,1:No,1:No,,0.943
172,1:No,1:No,,0.924
173,1:No,1:No,,0.965
174,1:No,1:No,,0.96
175,1:No,1:No,,0.946
176,1:No,1:No,,0.967
177,1:No,1:No,,0.958
178,1:No,1:No,,0.921
179,1:No,1:No,,0.92
180,1:No,1:No,,0.917
181,1:No,1:No,,0.986
182,1:No,1:No,,0.957
183,1:No,1:No,,0.884
184,1:No,1:No,,0.976
185,1:No,1:No,,0.978
186,1:No,1:No,,0.972
187,1:No,1:No,,0.817
188,1:No,1:No,,0.977
189,1:No,1:No,,0.968
190,1:No,1:No,,0.919
191,1:No,1:No,,0.872
192,1:No,1:No,,0.938
193,1:No,1:No,,0.928
194,1:No,1:No,,0.926
195,1:No,1:No,,0.894
196,1:No,1:No,,0.977
197,1:No,1:No,,0.978
198,1:No,1:No,,0.96
199,1:No,1:No,,0.796
200,1:No,1:No,,0.916
201,1:No,1:No,,0.984
202,1:No,1:No,,0.821
203,1:No,1:No,,0.986
204,1:No,1:No,,0.991
205,1:No,1:No,,0.992
206,1:No,1:No,,0.93
207,1:No,1:No,,0.888
208,1:No,1:No,,0.959
209,1:No,1:No,,0.956
210,1:No,1:No,,0.943
211,1:No,1:No,,0.839
