

=== Predictions on test data ===

inst#,actual,predicted,error,prediction
1,1:No,1:No,,0.998
2,1:No,1:No,,0.998
3,1:No,1:No,,0.995
4,1:No,1:No,,0.999
5,1:No,1:No,,0.999
6,1:No,1:No,,0.998
7,1:No,1:No,,0.999
8,1:No,1:No,,0.998
9,1:No,1:No,,0.999
10,1:No,1:No,,0.999
11,1:No,1:No,,0.999
12,1:No,1:No,,0.999
13,1:No,1:No,,1
14,1:No,1:No,,1
15,1:No,1:No,,0.999
16,1:No,1:No,,0.999
17,1:No,1:No,,0.994
18,1:No,1:No,,0.995
19,1:No,1:No,,0.983
20,1:No,1:No,,0.997
21,1:No,1:No,,1
22,1:No,1:No,,0.999
23,1:No,1:No,,0.999
24,1:No,1:No,,0.999
25,1:No,1:No,,0.997
26,1:No,1:No,,0.998
27,1:No,1:No,,0.999
28,1:No,1:No,,0.999
29,1:No,1:No,,0.999
30,1:No,1:No,,1
31,1:No,1:No,,0.999
32,1:No,1:No,,0.998
33,1:No,1:No,,0.999
34,1:No,1:No,,0.998
35,1:No,1:No,,0.999
36,1:No,1:No,,1
37,1:No,1:No,,0.999
38,1:No,1:No,,1
39,1:No,1:No,,0.997
40,1:No,1:No,,0.999
41,1:No,1:No,,0.998
42,1:No,1:No,,1
43,1:No,1:No,,0.998
44,1:No,1:No,,0.999
45,1:No,1:No,,0.986
46,1:No,1:No,,0.999
47,1:No,1:No,,0.997
48,1:No,1:No,,1
49,1:No,1:No,,1
50,1:No,1:No,,0.995
51,1:No,1:No,,1
52,1:No,1:No,,0.995
53,1:No,1:No,,0.999
54,1:No,1:No,,0.997
55,1:No,1:No,,0.998
56,1:No,1:No,,0.994
57,1:No,1:No,,0.999
58,1:No,1:No,,0.999
59,1:No,1:No,,1
60,1:No,1:No,,0.999
61,1:No,1:No,,0.999
62,1:No,1:No,,0.999
63,1:No,1:No,,0.999
64,1:No,1:No,,0.999
65,1:No,1:No,,0.999
66,1:No,1:No,,0.999
67,1:No,1:No,,0.999
68,1:No,1:No,,0.996
69,1:No,1:No,,0.979
70,1:No,1:No,,0.925
71,1:No,1:No,,0.999
72,1:No,1:No,,0.999
73,1:No,1:No,,0.999
74,1:No,1:No,,0.996
75,1:No,1:No,,1
76,1:No,1:No,,0.999
77,1:No,1:No,,0.994
78,1:No,1:No,,0.999
79,1:No,1:No,,0.999
80,1:No,1:No,,0.985
81,1:No,1:No,,0.999
82,1:No,1:No,,0.998
83,1:No,1:No,,0.999
84,1:No,1:No,,0.998
85,1:No,1:No,,0.999
86,1:No,1:No,,1
87,1:No,1:No,,0.997
88,1:No,1:No,,0.968
89,1:No,1:No,,1
90,1:No,1:No,,1
91,1:No,1:No,,0.999
92,1:No,1:No,,0.999
93,1:No,1:No,,0.998
94,1:No,1:No,,0.999
95,1:No,1:No,,0.999
96,1:No,1:No,,0.999
97,1:No,1:No,,0.999
98,1:No,1:No,,0.994
99,1:No,1:No,,0.999
100,1:No,1:No,,0.999
101,1:No,1:No,,0.999
102,1:No,1:No,,0.999
103,1:No,1:No,,0.997
104,1:No,1:No,,0.985
105,1:No,1:No,,0.994
106,1:No,1:No,,0.995
107,1:No,1:No,,0.998
108,1:No,1:No,,0.861
109,1:No,1:No,,0.997
110,1:No,1:No,,0.999
111,1:No,1:No,,0.998
112,1:No,1:No,,0.994
113,1:No,1:No,,0.999
114,1:No,1:No,,1
115,1:No,1:No,,0.995
116,1:No,1:No,,0.995
117,1:No,1:No,,0.999
118,1:No,1:No,,0.993
119,1:No,1:No,,0.999
120,1:No,1:No,,0.998
121,1:No,1:No,,0.999
122,1:No,1:No,,0.978
123,1:No,1:No,,1
124,1:No,1:No,,0.999
125,1:No,1:No,,0.999
126,1:No,1:No,,0.999
127,1:No,1:No,,0.999
128,1:No,1:No,,1
129,1:No,1:No,,0.999
130,1:No,1:No,,1
131,1:No,1:No,,0.999
132,1:No,1:No,,0.969
133,1:No,1:No,,0.996
134,1:No,1:No,,0.998
135,1:No,1:No,,0.998
136,1:No,1:No,,0.999
137,1:No,1:No,,0.995
138,1:No,1:No,,0.997
139,1:No,1:No,,0.998
140,1:No,1:No,,0.995
141,1:No,1:No,,0.996
142,1:No,1:No,,1
143,1:No,1:No,,0.998
144,1:No,1:No,,0.999
145,1:No,1:No,,0.997
146,1:No,1:No,,0.998
147,1:No,1:No,,0.999
148,1:No,1:No,,0.999
149,1:No,1:No,,0.996
150,1:No,1:No,,0.999
151,1:No,1:No,,0.998
152,1:No,1:No,,0.998
153,1:No,1:No,,0.999
154,1:No,1:No,,0.996
155,1:No,1:No,,1
156,1:No,1:No,,0.999
157,1:No,1:No,,0.995
158,1:No,1:No,,0.997
159,1:No,1:No,,0.995
160,1:No,1:No,,0.999
161,1:No,1:No,,0.981
162,1:No,1:No,,0.992
163,1:No,1:No,,0.992
164,1:No,1:No,,0.997
165,1:No,1:No,,1
166,1:No,1:No,,0.999
167,1:No,1:No,,0.998
168,1:No,1:No,,0.999
169,1:No,1:No,,0.994
170,1:No,1:No,,0.999
171,1:No,1:No,,0.999
172,1:No,1:No,,0.996
173,1:No,1:No,,0.998
174,1:No,1:No,,0.997
