L,o,c,a,l,I,d,",",G,l,o,b,a,l,I,d,",",A,g,e,",",G,e,n,d,e,r,",",R,e,g,i,o,n,",",C,i,t,y,C,o,d,e,",",T,o,t,a,l,S,p,e,n,t,",",T,o,t,a,l,P,u,r,",",F,i,r,s,t,P,u,r,",",L,a,s,t,P,u,r,",",N,o,v,e,l,P,u,r,",",C,h,i,l,d,P,u,r,",",Y,o,u,t,h,P,u,r,",",C,o,o,k,P,u,r,",",D,i,y,P,u,r,",",R,e,f,P,u,r,",",A,r,t,P,u,r,",",G,e,o,g,P,u,r,",",P,r,o,v,C,o,o,k,",",P,r,o,v,A,t,l,a,s,",",P,r,o,v,A,r,t,",",R,e,l,P,u,r,",",P,r,o,v,P,u,r,"","
"
1,",",2,5,",",5,6,",",0,",",S,W,",",M,",",2,9,7,",",5,",",1,6,/,0,7,/,2,0,1,2,",",1,4,",",3,",",0,",",1,",",1,",",0,",",0,",",0,",",0,",",0,",",0,",",0,",",0,",",N,o,"","
"
2,",",2,9,",",2,3,",",1,",",N,E,",",S,",",1,2,8,",",4,",",1,3,/,0,7,/,2,0,1,3,",",8,",",2,",",0,",",0,",",0,",",0,",",0,",",0,",",0,",",0,",",0,",",0,",",0,",",N,o,"","
"
3,",",4,6,",",6,1,",",0,",",N,E,",",D,",",1,3,8,",",1,0,",",0,4,/,0,9,/,2,0,0,9,",",2,2,",",3,",",2,",",1,",",2,",",0,",",1,",",0,",",1,",",1,",",0,",",0,",",2,",",N,o,"","
"
4,",",4,7,",",3,0,",",0,",",S,W,",",G,",",2,2,8,",",2,",",0,9,/,0,3,/,2,0,1,4,",",2,",",1,",",0,",",0,",",0,",",0,",",0,",",0,",",0,",",0,",",0,",",0,",",0,",",N,o,"","
"
5,",",5,1,",",N,A,",",0,",",S,E,",",C,",",2,5,7,",",3,",",0,9,/,0,7,/,2,0,1,3,",",1,0,",",2,",",0,",",0,",",0,",",0,",",0,",",0,",",0,",",0,",",0,",",0,",",0,",",N,o,"","
"
6,",",6,0,",",2,9,",",0,",",S,E,",",B,",",1,4,5,",",4,",",1,0,/,0,5,/,2,0,1,3,",",6,",",2,",",0,",",0,",",0,",",0,",",0,",",0,",",0,",",0,",",0,",",0,",",0,",",N,o,"","
"
7,",",6,1,",",6,1,",",0,",",N,E,",",K,",",1,9,0,",",3,",",1,3,/,0,1,/,2,0,1,3,",",1,6,",",2,",",0,",",0,",",0,",",0,",",0,",",0,",",1,",",0,",",0,",",0,",",1,",",N,o,"","
"
8,",",7,9,",",5,8,",",0,",",S,W,",",P,",",1,8,7,",",4,",",2,6,/,0,3,/,2,0,1,3,",",1,4,",",3,",",1,",",0,",",0,",",0,",",0,",",0,",",0,",",0,",",0,",",0,",",0,",",N,o,"","
"
9,",",8,1,",",4,1,",",0,",",S,E,",",R,",",2,5,2,",",4,",",1,6,/,0,7,/,2,0,1,3,",",1,0,",",3,",",0,",",0,",",0,",",0,",",0,",",0,",",0,",",0,",",0,",",0,",",0,",",N,o,"","
"
